key,dirigente,rol,plataforma,comentario,post_contexto,llm_polaridad
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTk1MDg3MzE4NjQ5ODA1OjE1OTUwODczMTg2NDk4MDU=:c:f965159c0eac5e62,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,"El corazón cultural de México,  NO HAY MAS !!!","Oaxaca te espera con cultura, tradición, naturaleza y experiencias únicas en cada una de sus ocho regiones.  Ven, descubre y vive un destino lleno de historia y riqueza ancestral. Recuerda disfrutar O",1
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTkyNTQ3MzY4OTAzODAwOjE1OTI1NDczNjg5MDM4MDA=:c:5c3e997b838526f2,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,"Gracias, gracias amiga secretaria, le mando un fuerte abrazo y que el Creador del Universo siga derramando bendiciones en su persona y familia.","Felicito con aprecio a mi amigo Marco Palacios, Presidente Municipal de Santa Catarina Juquila, con motivo de su cumpleaños.  Reconozco su compromiso y trabajo en favor de su municipio y del bienestar",0
2046999501668307184,Laura Ballesteros Mancilla,oposicion,TWITTER,@LBallesterosM Y se les reconoce ampliamente por votar aliado a morena en temas cruciales   Nefastos que son !!!,"En la Bancada Naranja de Movimiento Ciudadano estamos orgullosas de ser reconocidas entre las y los legisladores más productivos. 🧡💪  Aquí no venimos a calentar la curul: venimos a trabajar, a present",0
pfbid02YkjDKD3SVF3CCnxFzc3vkPfVeNP7uscMbnJo3WSqYrwkPH6iVjQAY7AQbU4ELv6Sl:c:b3a56bcf5b1a6867,Felipe de Jesús Martínez Gómez,oficialismo,FACEBOOK,Saludos amigo,"Mismas sinceras felicitaciones Lic. FELIPE MARTÍNEZ por todo el TRABAJO que ha realizado los que lo conocemos podemos hablar de su trabajo, Y la ayuda que ha dado a muchas personas.",0
7628460078748484370,Saymi Adriana Pineda Velasco,oficialismo,TIKTOK,Ya están promocionando a su candidata a la gubernatura,"Oaxaca se viste de alegría por su cultura y paisajes llenos vida, por...",-1
1313808967371297,Alejandro Piña Medina,oposicion,FACEBOOK,"Hermosa Familia, Dios los Acompaña y los llena de Bendiciones","Su sonrisa es mi motor!  En sus ojos veo el futuro que quiero defender todos los días. Por sus sueños, por lo que me enseñan cada día, no hay espacio para rendirse. Todo lo que hago, empieza y termina",0
UgyBM20CPfI20T3iTyx4AaABAg,Laura Ballesteros Mancilla,oposicion,YOUTUBE,Horrible  Laura Ballesteros.,Un Grito histórico: la primera presidenta de México y el futuro de nuestra democracia,-1
2042357805030543796,Laura Ballesteros Mancilla,oposicion,TWITTER,"@LBallesterosM @Claudio19523149 No, Laura, no generalices. Yo no concuerdo ni he votado por el PRI, soy una ciudadana que no ha militado en ningún partido. Muchos ciudadanos estamos muy molestos de su justificación para debilitar el federalismo y afectar más a los municipios, mayor número de mexicanos afectados","Que Alejandro Moreno y sus huestes ataquen, habla de que estamos en el camino correcto, el de la política digna y honesta, el del alto a los privilegios de quienes tanto le han fallado y robado a nues",0
7626909125671011092,Felipe de Jesús Martínez Gómez,oficialismo,TIKTOK,se supone que si estás en una sesión de cabildo tendrías que estar atento y al cien y solucionando los temas que ahí se tocan pero la disque presidenta municipal nunca pone atención que falta de ética 😡,todos tenemos derecho al agua #nicolasromeroedodemex #felipeycontenis #agua #edomex🇲🇽 ,-1
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTY4ODA2MzI3OTQ0NTcxOjE1Njg4MDYzMjc5NDQ1NzE=:c:b77e9b8bed5898c3,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,Excelente gestión Jefa Saymi Pineda Velasco vamos con todo …,Del archivo,1
2042408817443684707,Gabriela Jiménez Godoy,oficialismo,TWITTER,Corrupta de mierda!,"¡Día histórico para México! 🗳️🇲🇽 Con el respaldo de 17 Congresos Estatales, alcanzamos la mayoría necesaria para la declaratoria de constitucionalidad del Plan B de la Reforma Electoral.  La voluntad ",0
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTkyNzQ4NDg4ODgzNjg4OjE1OTI3NDg0ODg4ODM2ODg=:c:516d6fd0548c8526,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,#LaSumaQueMultiplica,Más de +1.000 cursos GRATIS con Domestika Plus,1
3892639779669796457_7696494864__c__17976536267858478,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Pero ya es un hecho. Ya lo hicieron oficial,"🚨Amparos frente a la cancelación de la SEP del ciclo escolar en junio.  No pueden con el Mundial.  Si el Gobierno Federal decide seguir adelante con este atropello a los derechos de las y los niños, y",0
17972069259019442,Gabriela Jiménez Godoy,oficialismo,INSTAGRAM,"Hola, te mande md ✌️❤️","🎈✨ Donde hay una infancia feliz, hay futuro. ✨🎈  Hoy en la colonia Tierra Nueva, en Azcapotzalco, vivimos un día lleno de alegría celebrando a nuestras niñas y niños. Sus sonrisas, su energía y su ilu",0
3882566993597935421_7696494864__c__18097052375111694,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Así se hace !!!👏👏👏👏,"Diputadas y diputados, pónganse a trabajar. Mientras el PRIAN y Morena pelean sobre quién lo hizo peor en feminicidios con sus gobiernos, la gente exige justicia. El feminicidio de Edith Guadalupe nos",1
18370730938202940,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Es un distractor del asunto de Trump. Aunque Si hay razón para la queja.,"🚨Amparos frente a la cancelación de la SEP del ciclo escolar en junio.  No pueden con el Mundial.  Si el Gobierno Federal decide seguir adelante con este atropello a los derechos de las y los niños, y",-1
Y29tbWVudDoxNDExNTc5ODQwOTgyODE0XzExOTY2MTc2OTI0MzIyNjY=,Gabriela Jiménez Godoy,oficialismo,FACEBOOK,Cars Hernandez exacto,¡Lo logramos! En la Cámara de Diputados aprobamos el Plan B de la Reforma Electoral. 🗳️🇲🇽  Se terminan los tiempos de la democracia dorada; hoy legislamos para que el servicio público sea sinónimo de ,0
18187553257374375,Gabriela Jiménez Godoy,oficialismo,INSTAGRAM,Dándolo todo amiga! Imparable ♥️,"✨ Cuando una mujer emprende, transforma su comunidad ✨  Hoy tuve el honor de ser madrina de la Paletería ZUVA de mi querida amiga Sofía, en la colonia La Preciosa. 💛 Un proyecto que nace del esfuerzo,",0
1340427551307932,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,siempre impulsando a las comunidades y fortaleciendo el desarrollo 🥰,"Iniciamos nuestra jornada en Santo Domingo Tomaltepec   ¡Excelente día! Ya nos encontramos en Santo Domingo Tomaltepec, desde donde trabajaremos el día de hoy, junto al presidente municipal, Isaías Ca",1
UzpfSTYxNTc0NzEyOTQzOTQ5OjEyMjE4OTQ5MDY3NDgyMzc2NDoxMjIxODk0OTA2NzQ4MjM3NjQ=:c:99f71e6d4dcf58fd,Felipe de Jesús Martínez Gómez,oficialismo,FACEBOOK,Lic Felipe Martínez,"Me dio gusto reunirme con Aaron G. Chávez Vargas, coordinador del Proyecto por la PAZ en Nicolás Romero, para compartir puntos de vista y seguir construyendo acuerdos por nuestro municipio.  Seguimos ",0
17917667793095798,Alejandro Piña Medina,oposicion,INSTAGRAM,Tu de que eres a ver:,"Nos han querido convencer de que la política se resume en dos bandos: si criticas, eres de “derecha”; si aplaudes, eres de “izquierda”.  Pero la realidad no funciona así. El mundo cambió y usar estas ",-1
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTU3NDQ1NDYyNDEzOTkxOjE1NTc0NDU0NjI0MTM5OTE=:c:0e986df9bfb7133e,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,Saludos secretaria !,"Acompañamos al Gobernador, Ing. Salomón Jara Cruz, en su gira por la Costa de Oaxaca, iniciando con la supervisión de avances en el cierre y saneamiento del Sitio de Disposición Final de Residuos Sóli",0
7631624159189549845,Saymi Adriana Pineda Velasco,oficialismo,TIKTOK,Felicidades guapo. Dios te bendiga siempre. Y felicidades a su mami también . Abrazos con cariño ✨✨✨,Felicidades a mi hijito que cumple años. Le doy gracias a Dios por permitirme abrazar y decirle lo mucho que lo amo.,1
7621746412695569160,Saymi Adriana Pineda Velasco,oficialismo,TIKTOK,jajajaja nada que ver. lic era. alegre desde niña.ahora entiendo bien.,¿Y tú cómo eras en los 90's? #Iris #90s #Oaxaca ,0
7629908895616959252,Laura Ballesteros Mancilla,oposicion,TIKTOK,Muy bien...,"El descanso no es un privilegio, es un derecho. En México seguimos trabajando más y descansando menos. Por eso proponemos de 5 a 6 días de descanso personal al año, además de las 40 horas ahora con 2 ",1
Y29tbWVudDoxNDA4MjA5OTQ0NjUzMTM3XzE1OTc5OTk1NDc5NTAzMDI=,Gabriela Jiménez Godoy,oficialismo,FACEBOOK,Hola diputada buenas tardes desde sonora,"“A quien amas dale alas para volar, raíces para volver y motivos para quedarse” #ReflexionesDeVida #FrasesQueInspiran #LoEsencial #AmorQueTrasciende #felizsábado",0
7628850492307555080,Laura Ballesteros Mancilla,oposicion,TIKTOK,"y la canción como se llama, por favor","🚇 Mientras la Jefa de Gobierno está en lo suyo, millones viven otra realidad: un Metro al borde del colapso. 24 mil millones de pesos es el déficit de mantenimiento. Este año sólo ha operado sin inter",0
3902053718165975254_7696494864__c__17931953631270374,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Ambientalistas de ocasión,"Nos quieren vender el “fracking sustentable” mientras el planeta arde y las comunidades pagan el costo.  En Santa Marta, en la Primera Conferencia Internacional para la Transición más allá de los Comb",-1
UzpfSTEwMDA2MzU2NTMwNzU2MjoxNTgzNjY0MTMzNzYyNDE1OjE1ODM2NjQxMzM3NjI0MTU=:c:75a654e1df55cdd7,Alejandro Piña Medina,oposicion,FACEBOOK,Bellísimo lugar,"El Movimiento Chilango está en Saltillo, porque la alternativa también se construye desde cada rincón del país.  Hoy recorrimos sus colonias, escuchamos a su gente y acompañamos a @ponchodanao en una ",1
17872470978603863,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Y no anda nadie del Verde ecologista ahí??,"Colombia. Siempre tan linda, esta vez sede de la primera conferencia mundial para la transición energética, y más allá de ella, hacia la justicia social. Me estreno como parte del Steer Committee de P",0
3810218570521854812_45120302231__c__17945284895962316,Alejandro Piña Medina,oposicion,INSTAGRAM,👏👏👏👏👏 se tenía q decir Y SE DIJO!,"¿Les suena familiar esta historia? Cuando algo sale mal, siempre hay a quién culpar. Pero después de siete años, eso ya no explica nada. Tener poder sin autoridad ni control es gobernar sin responder.",1
18379056427085897,Pepe Monroy,?,INSTAGRAM,Con todo mi hermano te mando un fuerte abrazo 👏,🤜🤛 Como presidente de la Asociación Nacional de Partidos Políticos Locales de México me reuní con mi compañera y amiga Padilla Vocera Estatal de nuestro 💪Partido Político Local en #QuintanaRoo Roo @pa,1
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTY5NjAxNDQ0NTMxNzI2OjE1Njk2MDE0NDQ1MzE3MjY=:c:5b50a81f8dc88379,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,Excelente Secretaria Saymi Pineda Velasco,"Si crees que ser Anfitrión en Airbnb es súper complicado, deja que un Coanfitrión te salve de hacerlo todo.",1
7634154971114275601,Laura Ballesteros Mancilla,oposicion,TIKTOK,¿Y los cuántas van a proceder?,"Las víctimas no están solas. Pusimos a disposición estas herramientas para que las víctimas, madres buscadoras y sus familias impulsen sus propias lluvias de juicios políticos contra Rosario Piedra po",-1
3900603892823836161_7696494864__c__17875236633478438,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Que poca madre Claudia!,"En Movimiento Ciudadano no venimos a defender políticos, venimos a defender a las personas. Toda nuestra solidaridad con el pueblo de Sinaloa ante la violencia y el abandono que viven desde hace años.",-1
996074212962686,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,"Bravo, nuestra máxima fiesta está a la vuelta de la esquina, máximo evento de los oaxaqueños","Bonito día ☀️ Ya estamos listos para dar inicio a la conferencia de prensa donde daremos a conocer todos los detalles de julio, mes de la Guelaguetza 2026.   Les invito a seguir la transmisión y ser p",1
7631703140290839316,Laura Ballesteros Mancilla,oposicion,TIKTOK,"como le hace daño las malditas encuestas a mexico, no valen las encuestas pero cin eso ya hacen creer que paritido deben ganar","En la Bancada Naranja de Movimiento Ciudadano estamos orgullosas de ser reconocidas entre las y los legisladores más productivos. 🧡💪 Aquí no venimos a calentar la curul: venimos a trabajar, a presenta",-1
18099434716988748,Pepe Monroy,?,INSTAGRAM,La fuerza se encuentra en la unión de voluntades por eso desde el magisterio Te apoyamos y reconocemos tu fuerza como un gran líder.,"🤝 Una maravillosa reunión con mis hermanos Armando González @armandogonzalezescoto , compañero de PAZ Nacional, y Pablo Quiroa @pquiroa , quienes seguimos sumando voluntades, fortaleciendo la unidad y",0
7630946885918753537,Saymi Adriana Pineda Velasco,oficialismo,TIKTOK,puro negocio presidencial,"✈️ Nueva ruta, más oportunidades para el Istmo Desde el 20 de abril, ...",-1
26698682426425260,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,Oaxaca te espera,"¡Planea tu viaje, reserva tu vuelo y vive Julio, mes de la Guelaguetza 2026!   Desde distintos destinos nacionales e internacionales, puedes llegar al Corazón Cultural de México para disfrutar de nues",1
17877485895457128,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,👏👏👏👏👏👏👏👏🙌🙌🙌,"Mientras la SEP rehúye de su obligación como parte de un Estado de cuidados, Mario Delgado convirtió la crisis climática en excusa para lavarse las manos.  Cerrar escuelas y adelantar el fin del ciclo",1
18210183997332993,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,"Qué bueno que invirtieron en transporte público en esas ciudades, mucha falta les hace. entre el aspiracionismo y la ignorancia de los gobernadores siempre se ha pensado que es mejor el automóvil.  Pero eso solo ha acarreado los problemas urbanos que aquejan a México.  Pero esto no es cuestión de partidos políticos, siempre se ha incentivado el uso del auto porque eso les deja más, pero no es lo m","El Mundial no sólo se juega en la cancha. También se juega en las ciudades.  Mientras Nuevo León y Jalisco aprovecharon el Mundial para invertir más de 30 mil millones de pesos en transporte público, ",-1
3901354306363468202_7696494864__c__18093523175228813,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Que guapa estás estoy de acuerdo contigo hay cosas más importantes que ver,"¿De qué sirve maquillar la ciudad si sigue colapsada?  El Mundial no se juega pintando la ciudad de morado. Se juega en las calles, en el transporte público, en la seguridad y en la calidad de vida de",0
3896368324245599684_7696494864__c__18099434488859784,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,"La escuela no es guardería, bueno sería que mejoraran el sistema laboral para que los padres y madres tengan oportunidad de estar con sus hijos y solventar su vida diaria. Pero no, es denigrante la forma en como se vive y se nos obliga a buscar ""culpables"" en el sistema educativo. Cuando el principal problema es el sistema laboral y el sistema público que no ha sido diseñado para atender infancias","Mientras la SEP rehúye de su obligación como parte de un Estado de cuidados, Mario Delgado convirtió la crisis climática en excusa para lavarse las manos.  Cerrar escuelas y adelantar el fin del ciclo",-1
Y29tbWVudDoxNDExNjEwODgwOTc5NzEwXzExMTU2MzM0OTczOTQ1MjQ=,Gabriela Jiménez Godoy,oficialismo,FACEBOOK,Saludos y bendiciones Gaby Jiménez Godoy. Enhorabuena!!!,"¡En la Cámara no paramos!  Pasadas las 3:30 AM de este jueves 9 de abril, aprobamos la reforma al Art. 36 de la LOAPF. Con esto, fortalecemos la infraestructura de salud para que la SICT colabore en l",0
18120552583724984,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Casi no hay desaparecidos y desvividos en México por eso hay que preocuparnos de la gordofobia... 😂😂😂😂,#NoHayPlanetaB. 🌎  Nuestro trabajo legislativo y activismo con la comunidad siempre va a denfeder a las niñeces y juventudes; Tambien a las nuevas generaciones para que tengan un planeta donde puedan ,-1
7634958209484817159,Saymi Adriana Pineda Velasco,oficialismo,TIKTOK,¡Enhorabuena Maestra!,"Puebla ya tiene playa: Bahías de Huatulco   Firmamos un convenio con Puebla con el objetivo de intercambiar conocimiento y experiencia para una promoción turística más eficiente y competitiva, previo ",1
18150418063470897,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Y lo que pasa en Jalisco ?? La v1ol3nc1a ?? De eso prefieres no hablar verdad ?? Donde esta el gobernador de MC ??,"En Movimiento Ciudadano no venimos a defender políticos, venimos a defender a las personas. Toda nuestra solidaridad con el pueblo de Sinaloa ante la violencia y el abandono que viven desde hace años.",-1
7629050371943793415,Laura Ballesteros Mancilla,oposicion,TIKTOK,A la jefa de gobierno no le importamos los cuidados😡😡😡😡😡😡,"🚇 Mientras la Jefa de Gobierno está en lo suyo, millones viven otra realidad: un Metro al borde del colapso. 24 mil millones de pesos es el déficit de mantenimiento. Este año sólo ha operado sin inter",-1
