"comment_id","content","dirigente_id","dirigente_nombre","rol_politico","platform","runner_tono","runner_target","mapper_tono_v2","mapper_target_v2","score_actual","humano_tono","humano_target","humano_off_topic","humano_nota"
"473","👏muchas felicidades primo que sigan los logros!","2","Rafael Solano Pérez","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"1863","Le cerraron el hociquito a la chairititita microbio de Vianey García 🤣🤣🤣","8","Laura Ballesteros Mancilla","oposicion","FACEBOOK","personal","autopromocion","personal","autopromocion","","","","",""
"1185","Estoy con ud","1","Alejandro Piña Medina","oposicion","FACEBOOK","personal","autopromocion","personal","autopromocion","","","","",""
"165","Dónde puedp conseguir una bandera para ponerla en mi balcón","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"2961","@LBallesterosM Para eso tienen a sus aliados para que los limpien como movimiento ciudadano","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1443","@LBallesterosM Cada día resultan más patéticos sus argumentos","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"2727","@LBallesterosM Simpatizo con la agenda progresista de MC, más coherente que la de cualquier otro partido

Lo que me desagrada es que resulta solo fachada, porque detrás prevalecen arreglos muy oscuros y ese fosfo fosfo que también es puro artificio

Dudo que corrijan
https://t.co/p6F7yic0Ub https://t.co/8GqL0N5PZf","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","oposicion","personal","oposicion","","","","",""
"1601","@LBallesterosM @hdemauleon A ver … tampoco se “apaniquen”… lo peor que les puede pasar es que no se les suban los piojos ni a madrazos.

Está medicina no fue desarrollada para los piojos, sino para la rosacea que es una enfermedad de la sangre.

Después descubren que ahuyenta los piojos.

Tranquis","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1782","✨✨✨","8","Laura Ballesteros Mancilla","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"2781","@LBallesterosM @anafvega Ya salgan del clóset, a nadie engañan, siempre se ha sabido 🤡😂😂 https://t.co/kDxOLBmE60","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1971","Muy bien bien Alejandro Piña bonita Familia y Felicidades a l@s niñ@s","1","Alejandro Piña Medina","oposicion","FACEBOOK","personal","autopromocion","personal","autopromocion","","","","",""
"12","hola","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"179","Ridiculos el pueblo quiere políticos, no canciones 😡😡","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","ciudadania","personal","ciudadania","","","","",""
"128","yo con la rola de mainez el 2 de junio directo a votar por claudia sheinbaum","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","gobierno","personal","gobierno","","","","",""
"3113","@LBallesterosM Estaba viendo que tienes una nariz muy fea estás muy narizona para ser mujer","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"3136","@LBallesterosM Están pagando los que deben , dirás @LBallesterosM  quien le dio el voto a Morena y sus aliados , incluidos lo de MC , esos mismo q van a los conciertos gratis , venden su voto , programas sociales etc , el costo es el metro , la salud ,extorsion etc 4T=Morena+verde+PT+MC","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","gobierno","personal","gobierno","","","","",""
"86","🥰🥰🥰","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"1568","@LBallesterosM @pablo_majluf Y una pesadilla quienes tenemos hijas de la Misma edad, es una ansiedad cada vez que salen, que es inexplicable, aun cuando tomen todas las medidas de seguridad, que triste vivir, es una tristeza ver como desaparecen y desaparecen, familias completas destruidas, que lamentable!!","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","tema_especifico","personal","tema_especifico","","","","",""
"1764","Bien dicho diputada 👏👏👏👏👏","8","Laura Ballesteros Mancilla","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"185","así son los payasos de estos partidos, nosotros no queremos esta basura","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"1566","@LBallesterosM Donen..https://t.co/kx3HhV27Pt","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1611","@LBallesterosM No hay evidencia suficiente para argumentar que cura COVID, pero tampoco su uso significa algún riesgo,es de las medicinas más seguras que hay","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"3155","@LBallesterosM @IsaacGGlez @anafvega @IvonneOP @PartidoMorenaMx Farsante","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"117","👍","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"1963","Todos los transportes del metro son un colapso total, es un terror que estén en malas condiciones y para un traslado corto te llevas más 2 horas para llegar 😭😭 , no se diga las escaleras eléctricas, elevadores perjudican mucho que no sirvan y más por las personas con discapacidad, adultos de la tercera edad y embarazadas","1","Alejandro Piña Medina","oposicion","FACEBOOK","personal","autopromocion","personal","autopromocion","","","","",""
"825","Cutberto Gaudazar jajaja y tú defendiendo a corrupto y miserable de Moreno, que ridículo...","1","Alejandro Piña Medina","oposicion","FACEBOOK","critico","autopromocion","critico","autopromocion","-1","","","",""
"407","👏👏","1","Alejandro Piña Medina","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"3022","@LBallesterosM @MovCiudadanoMX Con un dirigente borrachin y un fundador de partido ex-preso y amigo de @lopezobrador_ todavia se les llena el hocico de decir ¨Prian¨ un partido extensión de Morena como lo es MC.","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","gobierno","personal","gobierno","","","","",""
"123","🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"1946","Es correcto","1","Alejandro Piña Medina","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"1833","Espero que los responsables terminen en la cárcel, incluyan a la gobernadora de Veracruz que minimizó la fuga.","8","Laura Ballesteros Mancilla","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"3134","@LBallesterosM Pues no sé vio mucho de tu disque trabajo, pero bien que le fue a tu marido no?","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1577","@LBallesterosM https://t.co/RcMGJn4VRz","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1512","@LBallesterosM Se necesita cara para hablar de odio cuando el loco del video lo escupe. Cuando alguien tiene pene, es hombre y ¿qué crees? que su sitio es el baño de hombres. Punto.","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"58","nada que ver la canción","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"1867","🐀🐭","8","Laura Ballesteros Mancilla","oposicion","FACEBOOK","personal","autopromocion","personal","autopromocion","","","","",""
"1464","@LBallesterosM @DanteDelgado @AlvarezMaynez @Chertorivski @MovCiudadanoMX @MovCiudadanoCMX @Pat_MercadoC @ClementeCH @IvonneOP @colosioriojas @JZavalaGt Ahora sí vas a hacer propuestas o solo vas a ir a calentar el asiento como ahora que supliste a Xóchitl???","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"3374","@LBallesterosM Jajajajajajajajajajajaja https://t.co/koqm91cmJH","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1815","👏👏👏👏👏👏👏👏🙌🙌🙌🙌","8","Laura Ballesteros Mancilla","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"2666","Soy Autora del Kit Forense y apoyo totalmente al colectivo Victimas Unidas","8","Laura Ballesteros Mancilla","oposicion","TIKTOK","solidario","autopromocion","solidario","autopromocion","","","","",""
"1584","@LBallesterosM Una amiga que vive en China me recomendó comprarla, todavía no llegaba fuerte a México. 
Que en China se las recetaban y los ayudaba a salir más rápido. 
Cuando me dio, el doctor me la recetó, era octubre 2020. 
Salí en una semana.
Los piojosos de mis hijos lo han tomado tmb","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1890","🥰🥰🥰🥰🥰🥰","8","Laura Ballesteros Mancilla","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"2938","@LBallesterosM Y en lo general?????? Hipócrita!","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"103","mi mejor canción de @Jorge Álvarez Máynez 💪🧡","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"2715","@LBallesterosM … https://t.co/IugiojFSz2","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1529","@LBallesterosM Ninguno odio los hombres tienen pene, las mujeres no punto","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"196","🥰🥰🥰","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"1548","@LBallesterosM Y por cada dos mujeres desaparecidas en Nuevo León, hay dos hombres también desaparecidos, pero ellos son invisibles. 

Ojalá en este país no existieran víctimas de primera y segunda categoría.","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1491","@LBallesterosM @SEDEMA_CDMX Es más valioso un árbol individual que el impacto de huella de carbono de la verticalización de la ciudad?","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1497","@LBallesterosM @SEDEMA_CDMX @SEDEMA_CDMX  tu labor es proteger el medio ambiente, NO DESTRUIRLO","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1938","🔥🔥🔥","1","Alejandro Piña Medina","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"180","lo que ai que ASER pa comer","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"3258","@LBallesterosM Obliguemos a esta runfla de delincuentes a trabajar 48 horas a la semana!!","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"2894","@LBallesterosM ya tenemos algún acuerdo con morena o q q se negocio mi lauris","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","gobierno","personal","gobierno","","","","",""
"122","🍓:presidente maynez 🗣
10h 　 Responder 　 　 　 　 　 ♡916
　　　
● 𝓑𝓮𝓪💗
cai JAJAJA 🥲","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"1618","@LBallesterosM @MaxKaiser75 Lo siento mucho. Mi mamá también murió de cáncer hace 5 años y también se trató en el sector de salud pública. Tuvo un trato de primer nivel y sí había medicamentos.
No me imagino la impotencia que se debe sentir que el gobierno no pueda darte ni eso.
Dan ganas de apedrearlos.","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","gobierno","personal","gobierno","","","","",""
"2690","@LBallesterosM IMPOSIBLE que su petición prospere.","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"3314","@LBallesterosM En un país como en el que vivimos, no debería exponer a su hijo en redes sociales.","8","Laura Ballesteros Mancilla","oposicion","TWITTER","propositivo","autopromocion","propositivo","autopromocion","1","","","",""
"27","🧡🫶","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"410","#40horasahora 😍","1","Alejandro Piña Medina","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"1475","Vecinos defensores comenzaron la movilización a favor de Eugenio y sus amigos, otros 5 árboles, hace unas semanas.

Buscaron a la @PAOTmx y a los desarrolladores de Adinse, parecía que PAOT trabajaba para los desarrolladores. Les trataron de intimidar, y presumieron permisos.","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","ciudadania","personal","ciudadania","","","","",""
"1626","@LBallesterosM Con mucho respeto voy a hacerte RT. Siento mucho la situación por la que pasó tu mami y tu familia. 😔","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1807","MC sería maravilloso… PEERO fosfo fosfo 🤡🫠💩✨","8","Laura Ballesteros Mancilla","oposicion","INSTAGRAM","personal","oposicion","personal","oposicion","","","","",""
"1966","Jajajajajajajajajaja note vallan a coj3r wuey","1","Alejandro Piña Medina","oposicion","FACEBOOK","personal","autopromocion","personal","autopromocion","","","","",""
"872","Alejandro Piña gracias prepárense profes Julio Ramos Efrain Salas Ernesto Lino Jerry Mata","1","Alejandro Piña Medina","oposicion","FACEBOOK","celebratorio","autopromocion","celebratorio","autopromocion","0","","","",""
"1813","Ese es el punto, que son unos farsantes los de Movimiento Ciudadano","8","Laura Ballesteros Mancilla","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"2970","@LBallesterosM https://t.co/RBKM752NlG","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"2599","Así de cierto y verdad fuera morena fuera","8","Laura Ballesteros Mancilla","oposicion","FACEBOOK","personal","gobierno","personal","gobierno","","","","",""
"139","Morena tu patrón soporte","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","gobierno","personal","gobierno","","","","",""
"3338","@LBallesterosM Neta no vez la guerra por el crudo de trump en venezuela y ahora saqueando iran neta no te informas?
O solo eres pndeja? Mejor siguete encuerando te sale mejor https://t.co/qdE6ziDmwU","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1207","🧡","1","Alejandro Piña Medina","oposicion","FACEBOOK","personal","autopromocion","personal","autopromocion","","","","",""
"1522","@LBallesterosM “Discurso de odio” esa cantaleta sin sentido afortunadamente cada vez pierde más fuerza.  Carecen de argumentos, por eso solo queda la victimización.","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"3301","@LBallesterosM Excelente 🫡 saludos desde Monterrey","8","Laura Ballesteros Mancilla","oposicion","TWITTER","celebratorio","autopromocion","celebratorio","autopromocion","0","","","",""
"1520","@LBallesterosM No tengo nada en contra! Cada quién su sexo… peeerooooo por ejemplo como mamá no es tan fácil decir “claro que entren los dos al baño”.
Como todo… habrá gente buena y no tan buena… pero y si no? Y si se pasa por mujer?","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","ciudadania","personal","ciudadania","","","","",""
"3317","@LBallesterosM Son solo un grupo de mafiosos rollendo hueso. Tu de política no sabes nada. Eres pluri. Nunca has recibido voto popular alguno.","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1457","@LBallesterosM @DanteDelgado @AlvarezMaynez @Chertorivski @MovCiudadanoMX @MovCiudadanoCMX @Pat_MercadoC @ClementeCH @IvonneOP @colosioriojas @JZavalaGt Laura te queremos enviar mensaje…","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"2882","@LBallesterosM Tu ya perdiste toda credibilidad.  Fuera mascaras. https://t.co/Ojj7fUxlGw","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"24","🧡🍊✨🫶#MaynezPresidente","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"2794","@LBallesterosM @anafvega https://t.co/r4AkrqaI58","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"3310","@LBallesterosM No mames que puto horror de gobiernos estos de morena.. son un pinche asco, por donde uno volteé tienen un verdadero desmadre...","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","gobierno","personal","gobierno","","","","",""
"2759","@LBallesterosM Perfecta descripción de Dante Delgado, un político que siempre ha vivido de excesos y privilegios,  no por nada estuvo encerrado el muy criminal.
Una y otra vez y otra y otra vez, han demostrado que son comparsa del #NarcoPartido","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"59","Como se llama la de lentes apenas paso y traía buenas propuestas 🫡 🤝","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"157","no eso es pura propaganda","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"1449","@LBallesterosM @DanteDelgado @AlvarezMaynez @Chertorivski @MovCiudadanoMX @MovCiudadanoCMX @Pat_MercadoC @ClementeCH @IvonneOP @colosioriojas @JZavalaGt Muchas felicidades Dip. Laura","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"158","❤❤😍😍😍🥰🥰🥰","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"2709","@LBallesterosM De verdad que en MC son un chiste. Los políticos rancios, de ferraris, yates, jets privados, son esos que apoyaron con sus votos. O qué, no  recuerdan que López Obrador decía traer solo 200 pesos en la cartera y ahora sus hijos lucen esos lujos. Y No es @alitomorenoc, es México","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","oposicion","personal","oposicion","","","","",""
"83","❤️❤️❤️","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"3153","@LBallesterosM @IsaacGGlez @anafvega @IvonneOP @PartidoMorenaMx Ivonne es una ratera corrupta?
 En eso crees","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1871","Si no fuera de MC estaría increíble todos sabemos que MC = a MORENA","8","Laura Ballesteros Mancilla","oposicion","TIKTOK","personal","gobierno","personal","gobierno","","","","",""
