post_id,dirigente_id,dirigente_nombre,tono_claude,target_claude,sentimiento_claude,razon_claude
4432,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,Ataque a Morena por proteger políticos corruptos y narco — pacto de impunidad
4407,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,Idéntico a 4432 (IG) — Morena patrón de proteger corruptos
4433,8,Laura Ballesteros Mancilla,celebratorio,autopromocion,positivo,Estreno de su propio noticiero Pase de Lista en YouTube
4405,8,Laura Ballesteros Mancilla,celebratorio,autopromocion,positivo,Idéntico a 4433 (IG) — promoción estreno noticiero
4454,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,Acusación Narco Washing al gobierno por proceso Rocha Moya — contraste con desaparecidos
4434,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,Idéntico a 4454 (FB) — Narco Washing y comparación con presos sin sentencia
4409,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,Idéntico a 4454 (IG) — Narco Washing impunidad Rocha Moya
4435,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,Insulto huevones a legisladores Morena por aplazar 40 horas — más autopromocion noticiero
4406,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,Idéntico a 4435 (IG) — huevones legisladores Morena 40 horas
4455,8,Laura Ballesteros Mancilla,celebratorio,autopromocion,positivo,Mensaje motivacional Derecho al Futuro defensa diaria — autopromocion identidad
4436,8,Laura Ballesteros Mancilla,celebratorio,autopromocion,positivo,Idéntico a 4455 (FB) — defendiendo Derecho al Futuro
4408,8,Laura Ballesteros Mancilla,celebratorio,autopromocion,positivo,Idéntico a 4455 (IG) — defendiendo Derecho al Futuro
4456,8,Laura Ballesteros Mancilla,critico,gobierno,negativo,Crítica a CDMX por no invertir en transporte público para Mundial vs Nuevo León y Jalisco
4437,8,Laura Ballesteros Mancilla,critico,gobierno,negativo,Idéntico a 4456 (FB) — CDMX debe transporte y Mundial
4410,8,Laura Ballesteros Mancilla,critico,gobierno,negativo,Idéntico a 4456 (IG) — Mundial y movilidad CDMX
4438,8,Laura Ballesteros Mancilla,celebratorio,autopromocion,positivo,Lanzamiento de su noticiero Pase de Lista en YouTube
4423,8,Laura Ballesteros Mancilla,celebratorio,autopromocion,positivo,Idéntico a 4438 (IG) — lanzamiento noticiero
4439,8,Laura Ballesteros Mancilla,celebratorio,autopromocion,positivo,Idéntico a 4438 (FB) — lanzamiento noticiero
4457,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,Ataque al gobierno por encubrimiento desastre Pemex 900 km Golfo y minimización
4440,8,Laura Ballesteros Mancilla,ataque,gobierno,negativo,Idéntico a 4457 (FB) — Veracruz Pemex Morena negaba encubrimiento
