id,author,text,baseline_cib_heuristic,pipeline_flag,reason
X_2031776794525806934,Alejandro_Pinha,El reporte State of Global Air advierte que la contaminación del aire está asociada a más de 600 mil muertes por demencia al año en el mundo.  Las partículas PM2.5 pueden llegar al cerebro.  Aire sucio hoy. Memoria perdida mañana. https://t.co/TAjUgcpYu8,TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776232275161171,Alejandro_Pinha,"Respirar aire contaminado no es sólo incomodidad.  En México miles de personas mueren cada año por enfermedades asociadas a la mala calidad del aire: infartos, enfermedades respiratorias, derrames cerebrales y cáncer de pulmón.  Y una parte de esa contaminación viene de la refinería y la termoeléctr",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776128361541745,Alejandro_Pinha,"Cuarta contingencia ambiental en el año en la CDMX. Respiramos aire tóxico y el Gobierno solo reacciona con alertas y “Hoy No Circula”.  Mientras la refinería de Tula, en Hidalgo, sigue enviando contaminación al Valle de México, en la Ciudad de México no se toman decisiones de fondo.  El aire sucio",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776794525806934,Alejandro_Pinha,El reporte State of Global Air advierte que la contaminación del aire está asociada a más de 600 mil muertes por demencia al año en el mundo.  Las partículas PM2.5 pueden llegar al cerebro.  Aire sucio hoy. Memoria perdida mañana. https://t.co/TAjUgcpYu8,TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776232275161171,Alejandro_Pinha,"Respirar aire contaminado no es sólo incomodidad.  En México miles de personas mueren cada año por enfermedades asociadas a la mala calidad del aire: infartos, enfermedades respiratorias, derrames cerebrales y cáncer de pulmón.  Y una parte de esa contaminación viene de la refinería y la termoeléctr",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776128361541745,Alejandro_Pinha,"Cuarta contingencia ambiental en el año en la CDMX. Respiramos aire tóxico y el Gobierno solo reacciona con alertas y “Hoy No Circula”.  Mientras la refinería de Tula, en Hidalgo, sigue enviando contaminación al Valle de México, en la Ciudad de México no se toman decisiones de fondo.  El aire sucio",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776794525806934,Alejandro_Pinha,El reporte State of Global Air advierte que la contaminación del aire está asociada a más de 600 mil muertes por demencia al año en el mundo.  Las partículas PM2.5 pueden llegar al cerebro.  Aire sucio hoy. Memoria perdida mañana. https://t.co/TAjUgcpYu8,TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776232275161171,Alejandro_Pinha,"Respirar aire contaminado no es sólo incomodidad.  En México miles de personas mueren cada año por enfermedades asociadas a la mala calidad del aire: infartos, enfermedades respiratorias, derrames cerebrales y cáncer de pulmón.  Y una parte de esa contaminación viene de la refinería y la termoeléctr",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776128361541745,Alejandro_Pinha,"Cuarta contingencia ambiental en el año en la CDMX. Respiramos aire tóxico y el Gobierno solo reacciona con alertas y “Hoy No Circula”.  Mientras la refinería de Tula, en Hidalgo, sigue enviando contaminación al Valle de México, en la Ciudad de México no se toman decisiones de fondo.  El aire sucio",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776794525806934,Alejandro_Pinha,El reporte State of Global Air advierte que la contaminación del aire está asociada a más de 600 mil muertes por demencia al año en el mundo.  Las partículas PM2.5 pueden llegar al cerebro.  Aire sucio hoy. Memoria perdida mañana. https://t.co/TAjUgcpYu8,TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776232275161171,Alejandro_Pinha,"Respirar aire contaminado no es sólo incomodidad.  En México miles de personas mueren cada año por enfermedades asociadas a la mala calidad del aire: infartos, enfermedades respiratorias, derrames cerebrales y cáncer de pulmón.  Y una parte de esa contaminación viene de la refinería y la termoeléctr",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776128361541745,Alejandro_Pinha,"Cuarta contingencia ambiental en el año en la CDMX. Respiramos aire tóxico y el Gobierno solo reacciona con alertas y “Hoy No Circula”.  Mientras la refinería de Tula, en Hidalgo, sigue enviando contaminación al Valle de México, en la Ciudad de México no se toman decisiones de fondo.  El aire sucio",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776794525806934,Alejandro_Pinha,El reporte State of Global Air advierte que la contaminación del aire está asociada a más de 600 mil muertes por demencia al año en el mundo.  Las partículas PM2.5 pueden llegar al cerebro.  Aire sucio hoy. Memoria perdida mañana. https://t.co/TAjUgcpYu8,TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776232275161171,Alejandro_Pinha,"Respirar aire contaminado no es sólo incomodidad.  En México miles de personas mueren cada año por enfermedades asociadas a la mala calidad del aire: infartos, enfermedades respiratorias, derrames cerebrales y cáncer de pulmón.  Y una parte de esa contaminación viene de la refinería y la termoeléctr",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776128361541745,Alejandro_Pinha,"Cuarta contingencia ambiental en el año en la CDMX. Respiramos aire tóxico y el Gobierno solo reacciona con alertas y “Hoy No Circula”.  Mientras la refinería de Tula, en Hidalgo, sigue enviando contaminación al Valle de México, en la Ciudad de México no se toman decisiones de fondo.  El aire sucio",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776794525806934,Alejandro_Pinha,El reporte State of Global Air advierte que la contaminación del aire está asociada a más de 600 mil muertes por demencia al año en el mundo.  Las partículas PM2.5 pueden llegar al cerebro.  Aire sucio hoy. Memoria perdida mañana. https://t.co/TAjUgcpYu8,TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776232275161171,Alejandro_Pinha,"Respirar aire contaminado no es sólo incomodidad.  En México miles de personas mueren cada año por enfermedades asociadas a la mala calidad del aire: infartos, enfermedades respiratorias, derrames cerebrales y cáncer de pulmón.  Y una parte de esa contaminación viene de la refinería y la termoeléctr",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776128361541745,Alejandro_Pinha,"Cuarta contingencia ambiental en el año en la CDMX. Respiramos aire tóxico y el Gobierno solo reacciona con alertas y “Hoy No Circula”.  Mientras la refinería de Tula, en Hidalgo, sigue enviando contaminación al Valle de México, en la Ciudad de México no se toman decisiones de fondo.  El aire sucio",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776794525806934,Alejandro_Pinha,El reporte State of Global Air advierte que la contaminación del aire está asociada a más de 600 mil muertes por demencia al año en el mundo.  Las partículas PM2.5 pueden llegar al cerebro.  Aire sucio hoy. Memoria perdida mañana. https://t.co/TAjUgcpYu8,TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776232275161171,Alejandro_Pinha,"Respirar aire contaminado no es sólo incomodidad.  En México miles de personas mueren cada año por enfermedades asociadas a la mala calidad del aire: infartos, enfermedades respiratorias, derrames cerebrales y cáncer de pulmón.  Y una parte de esa contaminación viene de la refinería y la termoeléctr",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2031776128361541745,Alejandro_Pinha,"Cuarta contingencia ambiental en el año en la CDMX. Respiramos aire tóxico y el Gobierno solo reacciona con alertas y “Hoy No Circula”.  Mientras la refinería de Tula, en Hidalgo, sigue enviando contaminación al Valle de México, en la Ciudad de México no se toman decisiones de fondo.  El aire sucio",TRUE,TRUE,author_repeat=35|cosine>0.6(max=1.00)|plat_author_cluster=35|near_dup_peers=9
X_2043809267719848368,Alejandro_Pinha,"La caída en la aprobación de la Jefa de Gobierno no es casual: refleja una ciudad con inseguridad persistente, falta de orden y una inversión —pública y privada— que se ha frenado. La CDMX necesita rumbo.",TRUE,TRUE,author_repeat=35|plat_author_cluster=35
X_1953300951927779512,BinaByte,@Alejandro_Pinha Pero que no nos bajen la luna y las estrellas o sea realmente que se vea el resultado qué solución le van a dar a esto hay muchos intereses de por medio ahora siempre en la política existe el atole con el dedo lo cual todo México está harto que se vean hechos no palabras,TRUE,TRUE,author_repeat=9|cosine>0.6(max=1.00)|plat_author_cluster=9|near_dup_peers=2
X_1953224607558996343,Alejandro_Pinha,"Desde Movimiento Ciudadano CDMX salimos a las calles porque la crisis de vivienda no se resuelve desde el escritorio.  La gente necesita propuestas, no promesas. Por eso impulsamos vivienda digna, accesible y bien ubicada. Esto va en serio. https://t.co/oaye0RpTv8",TRUE,TRUE,author_repeat=35|plat_author_cluster=35
X_1953300951927779512,BinaByte,@Alejandro_Pinha Pero que no nos bajen la luna y las estrellas o sea realmente que se vea el resultado qué solución le van a dar a esto hay muchos intereses de por medio ahora siempre en la política existe el atole con el dedo lo cual todo México está harto que se vean hechos no palabras,TRUE,TRUE,author_repeat=9|cosine>0.6(max=1.00)|plat_author_cluster=9|near_dup_peers=2
X_1953300951927779512,BinaByte,@Alejandro_Pinha Pero que no nos bajen la luna y las estrellas o sea realmente que se vea el resultado qué solución le van a dar a esto hay muchos intereses de por medio ahora siempre en la política existe el atole con el dedo lo cual todo México está harto que se vean hechos no palabras,TRUE,TRUE,author_repeat=9|cosine>0.6(max=1.00)|plat_author_cluster=9|near_dup_peers=2
IG_3868138061058146441_17910808581184114,mariarellano629,Hermosa familia ❤️😍,TRUE,FALSE,"low_effort_extreme(wc=3,int=2)"
IG_3868138061058146441_17967222651045090,emmarosaliasot,Que bonita familia 👏,TRUE,FALSE,"low_effort_extreme(wc=4,int=2)"
IG_3877705018954815276_18112022299748676,jzavalagt1,👏👏👏,TRUE,FALSE,"low_effort_extreme(wc=1,int=2)"
IG_3871208719816413657_18148365418477599,soyjuandecortes,🔥🥖,TRUE,TRUE,author_repeat=2
IG_3871208719816413657_17893657701305038,jovenes.mc_cdmx,😍😍,TRUE,TRUE,author_repeat=2
IG_3869699613314075094_18091847800904424,terediaz401,"Yo así me lo hice durante 30 años de CDMX a Lerma  edo de Méx, y todo@oír no irme a vivir a Toluca",FALSE,FALSE,
IG_3869699613314075094_18111080035634096,jenniferguerreroarzate,"Eso ya sabemos , gracias por la información , y qué procede ? 🤔",FALSE,FALSE,
IG_3869699613314075094_17988795197956619,magui_zuniga,"Cuando fuiste alcalde de Venustiano Carranza que hiciste, nada solo andar como pulga en perro 🐕 brincando de alcalde a curul y así . En fin",FALSE,FALSE,
IG_3869699613314075094_17881144551542225,hortensiasanchezmorales,"Y cuál es tu propuesta, perdón?!?!???",TRUE,TRUE,cosine>0.6(max=0.83)
IG_3869699613314075094_18349803172208243,david8791175,Se está undiendo la cuidad,FALSE,FALSE,
IG_3869699613314075094_18071172029362120,lejuanalfredo,Pinches mamones prianistas de clóset,FALSE,FALSE,
IG_3869699613314075094_18113102713702495,elikaidreadloocks,"¿Qué no lo ven? Todavía no lo ven Izquierdas, derechas, socialismos, radicalismos Lo que sea, es todo lo mismo Es todo parte del juego que mantiene a la gente dividida Mantienen la masa dormida Unos benefician solo a algunos Y otros benefician a otros pocos, ja, ja No podemos seguir eligiendo entre",FALSE,FALSE,
IG_3869699613314075094_18113066821772779,luzpinedaortega,Y cual es tu propuesta?,TRUE,TRUE,cosine>0.6(max=0.83)
IG_3869699613314075094_18140589601497479,soyjuandecortes,👏,FALSE,TRUE,author_repeat=2
IG_3869699613314075094_18096616790040755,binabytex,Es verdad,TRUE,TRUE,author_repeat=10|plat_author_cluster=10
IG_3861843683566271535_18303855979276478,binabytex,Unidos #fuerzanaranja,TRUE,TRUE,author_repeat=10|plat_author_cluster=10
IG_3642138545329726026_18096459475573747,chika.auriazul25,🙌🙌🙌 exigimos 40 hras ya !!!,FALSE,FALSE,
IG_3642138545329726026_18044275730577487,fersy_barron,🔥🔥🔥#40horasya,TRUE,FALSE,"low_effort_extreme(wc=1,int=2)"
IG_3642138545329726026_18104286484526433,jimena_navarro_,👏👏,TRUE,FALSE,"low_effort_extreme(wc=1,int=2)"
IG_3642138545329726026_18070329529778470,soynatcone,👏👏👏,TRUE,FALSE,"low_effort_extreme(wc=1,int=2)"
IG_3642138545329726026_17861718855410453,tanyshabibi,#40horasahora 😍,TRUE,TRUE,cosine>0.6(max=1.00)
IG_3642138545329726026_18048600815132084,ilie.sforza,👏👏,TRUE,FALSE,"low_effort_extreme(wc=1,int=2)"
IG_3642138545329726026_18096076594582703,iammarco_a3,🔥🔥apoyó 100% ya estoy harto de trabajar 9 hrs y media diario para el salario que obtengo,FALSE,FALSE,
IG_3642138545329726026_18042547187264840,guzman_andrei_gd,🔥🔥🔥,TRUE,TRUE,author_repeat=3|plat_author_cluster=3
IG_3642138545329726026_18505923748012588,enriquevivesmx,🔥,FALSE,FALSE,
IG_3642138545329726026_17928428762949353,jonacerv21,#40horasahora 🍊,TRUE,TRUE,author_repeat=2|cosine>0.6(max=1.00)
IG_3873845534616357443_18321635002265020,judith_gomez_concejal,🔥🔥🔥🔥,TRUE,FALSE,"low_effort_extreme(wc=1,int=3)"
IG_3873845534616357443_17877310254578618,maribelramirezzuniga,Calentando motores! 🔥,FALSE,FALSE,
IG_3873845534616357443_18114269809683152,guzman_andrei_gd,🔥🔥🔥🔥,TRUE,TRUE,author_repeat=3|plat_author_cluster=3
IG_3873845534616357443_18097591931032455,susy_ascanio_concejal,México cree en México 🧡🍊🔥🔥,FALSE,FALSE,
IG_3873845534616357443_18095798051043381,binabytex,Aquí se van a ver talentos,TRUE,TRUE,author_repeat=10|plat_author_cluster=10
IG_3873845534616357443_18587715772010256,binabytex,Muy bien,TRUE,TRUE,author_repeat=10|plat_author_cluster=10
IG_3873845534616357443_18132366505531660,caro_yllan,Se siente el mundial 🔥🔥🔥,FALSE,FALSE,
IG_3863926554967780493_18322032121266928,binabytex,Saludos ya le envié mensaje a Fausto no sé si estoy esperando indicaciones que tenga buena noche y sería bueno hacer un recorrido con usted en toda la ciudad de México,TRUE,TRUE,author_repeat=10|plat_author_cluster=10
IG_3865320693458384286_17871148869595242,tan.olguin,Excelentes personas 🙏,TRUE,FALSE,"low_effort_extreme(wc=3,int=2)"
IG_3865320693458384286_18087335369463254,binabytex,@alvarezmaynez organizamos un cascarita naranja en Iztapalapa,TRUE,TRUE,author_repeat=10|plat_author_cluster=10
IG_3865320693458384286_18117197551636852,binabytex,Seremos la sorpresa,TRUE,TRUE,author_repeat=10|plat_author_cluster=10
IG_3865320693458384286_18142397503496503,binabytex,"@alejandro.pinha ya destinada la CDmx a ganar, se debe pintar de naranja cada conciencia cada persona que el proyecto de movimiento ciudadano es la mejor opción, @dantedelgador este 2027 daremos todo para pintar la CDmx de naranja 🧡",TRUE,TRUE,author_repeat=10|plat_author_cluster=10
IG_3735502669264799350_17895415416316868,jonacerv21,🍊🍊💪🏻,TRUE,TRUE,author_repeat=2
IG_3735502669264799350_18099709408576988,rosalinda_gonzalezmc,🔥,TRUE,FALSE,"low_effort_extreme(wc=1,int=2)"
IG_3735502669264799350_18297829258252092,jovenes.mc_cdmx,🔥🔥,TRUE,TRUE,author_repeat=2
IG_3735502669264799350_18045325463381143,binabytex,"Me gustaría reunirme con usted para hablar de la realidad, retos y oportunidades de la zona oriente de la Ciudad de México, saludos",TRUE,TRUE,author_repeat=10|plat_author_cluster=10
IG_3850846142972384783_18122814475584730,vip.0713,👏👏 El avión arriba le da él toque,FALSE,FALSE,
IG_3852632659449958414_18183987799371610,binabytex,Muy cierto y totalmente de acuerdo,TRUE,TRUE,author_repeat=10|plat_author_cluster=10
IG_3841492975864320148_17950533843086325,ricardosqn,🙌👏Saludos profe! Siempre con todo el estilo usted 🙇🏻🙂‍↕️,FALSE,FALSE,
IG_3844637551194081628_18099671806927611,patyosnaya,Saludos maestro !,FALSE,FALSE,
IG_3844426456361669753_18366429784201325,bernlawyer,Por qué me sale esta porquería en mi feed? 🙂‍↕️,FALSE,FALSE,
IG_3844426456361669753_18344542393242674,zaida_esponjaa04,tqm perrito chismoso,TRUE,FALSE,"low_effort_extreme(wc=3,int=2)"
IG_3855970202668621028_18110844208692689,guzman_andrei_gd,🔥🔥🔥,TRUE,TRUE,author_repeat=3|plat_author_cluster=3
IG_3855970202668621028_18073976768182366,danielpalmillasmoreira,🧡🦅🍊👊🏽,TRUE,TRUE,author_repeat=2
IG_3855970202668621028_18517087978073226,sofiamargarita,🤘🏼🤘🏼🤘🏼🤘🏼,TRUE,FALSE,"low_effort_extreme(wc=1,int=2)"
IG_3855970202668621028_18134530348518399,mexico_communitty,Mándalo @mexico_communiity_,FALSE,FALSE,
IG_3855086591614277594_18443983576117287,yo_soy_yaya,👏👏👏👏👏👏,TRUE,FALSE,"low_effort_extreme(wc=1,int=2)"
IG_3842844260723154567_18026784578617243,danielpalmillasmoreira,🧡🦅🍊👊🏽,TRUE,TRUE,author_repeat=2
